Pop,Tpop,Predpop,Richness,Census,Year,Date,Present_Study
D5,Warm,Pred,Low,12,2020,Oct-20,no
D6,Ambiant,Ctrl,Ctrl,520,2020,Oct-20,yes
D7,Warm,Ctrl,Ctrl,301,2020,Oct-20,yes
D8,Ambiant,Pred,High,88,2020,Oct-20,no
D9,Warm,Pred,High,0,2020,Oct-20,no
A1,Ambiant,Ctrl,Ctrl,248,2021,May-21,yes
A2,Warm,Pred,High,0,2021,May-21,no
A3,Ambiant,Pred,High,5,2021,May-21,no
A4,Warm,Ctrl,Ctrl,0,2021,May-21,no
A5,Ambiant,Ctrl,Ctrl,315,2021,May-21,no
A6,Warm,Pred,Low,0,2021,May-21,no
A7,Ambiant,Pred,Low,0,2021,May-21,no
A8,Warm,Pred,High,18,2021,May-21,no
A9,Ambiant,Pred,High,249,2021,May-21,no
B1,Warm,Ctrl,Ctrl,280,2021,May-21,yes
B2,Ambiant,Ctrl,Ctrl,225,2021,May-21,yes
B3,Warm,Pred,High,0,2021,May-21,no
B4,Ambiant,Pred,High,18,2021,May-21,yes
B5,Warm,Pred,Low,59,2021,May-21,yes
B6,Ambiant,Pred,Low,231,2021,May-21,yes
B7,Warm,Pred,High,25,2021,May-21,yes
B8,Ambiant,Pred,High,0,2021,May-21,no
B9,Warm,Pred,Low,48,2021,May-21,yes
C1,Ambiant,Pred,Low,19,2021,May-21,yes
C2,Warm,Pred,Low,30,2021,May-21,no
C3,Ambiant,Pred,Low,10,2021,May-21,yes
C4,Warm,Ctrl,Ctrl,295,2021,May-21,no
C5,Ambiant,Ctrl,Ctrl,470,2021,May-21,yes
C6,Warm,Pred,High,0,2021,May-21,no
C7,Ambiant,Pred,High,0,2021,May-21,no
C8,Warm,Pred,Low,17,2021,May-21,yes
C9,Ambiant,Pred,Low,14,2021,May-21,yes
D4,Ambiant,Pred,Low,179,2021,May-21,no
D5,Warm,Pred,Low,14,2021,May-21,no
D6,Ambiant,Ctrl,Ctrl,309,2021,May-21,yes
D7,Warm,Ctrl,Ctrl,162,2021,May-21,yes
D8,Ambiant,Pred,High,16,2021,May-21,no
D9,Warm,Pred,High,1,2021,May-21,no
